id,employmentStatus,currentEmployer,positionTitle,grossAnnualIncome,unemploymentPeriod,receivesFinancialAssistance,assistanceExplanation,receivesSocialSecurity,numberOfPeopleInHousehold
530,0,NULL,NULL,NULL,Less than 6 months,0,NULL,0,6
531,1,Twiyo,Internal Auditor,53811,NULL,1,curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor morbi vel lectus,1,7
532,1,Tazzy,Recruiter,30126,NULL,1,in leo maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus in felis eu sapien cursus,0,7
533,0,NULL,NULL,NULL,Less than 6 months,1,fermentum donec ut mauris eget massa tempor convallis nulla neque libero,0,7
534,1,Wordtune,Project Manager,49693,NULL,0,NULL,1,7
535,0,NULL,NULL,NULL,More than 6 months,1,ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate,1,8
536,1,Zava,Electrical Engineer,84682,NULL,1,vestibulum sed magna at nunc commodo placerat praesent blandit nam nulla integer pede justo lacinia eget,0,8
537,1,Linkbuzz,Internal Auditor,44705,NULL,0,NULL,1,9
538,1,Linklinks,Sales Representative,57164,NULL,1,odio cras mi pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum,1,4
539,0,NULL,NULL,NULL,More than 1 year,0,NULL,0,6
540,1,Latz,Structural Analysis Engineer,96655,NULL,1,tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam,1,3
541,1,Rhyloo,Information Systems Manager,01247,NULL,1,dui nec nisi volutpat eleifend donec ut dolor morbi vel lectus in quam fringilla rhoncus mauris,0,7
542,0,NULL,NULL,NULL,Less than 6 months,1,dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus,1,2
543,1,Yata,Structural Engineer,33683,NULL,0,NULL,1,6
544,0,NULL,NULL,NULL,More than 1 year,1,libero nullam sit amet turpis elementum ligula vehicula consequat morbi a ipsum integer a nibh in,1,9
545,1,Youspan,Product Engineer,33228,NULL,1,viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus sit,0,6
546,0,NULL,NULL,NULL,More than 6 months,1,maecenas ut massa quis augue luctus tincidunt nulla mollis molestie,0,4
547,1,Topiclounge,Help Desk Operator,41623,NULL,1,nibh in lectus pellentesque at nulla suspendisse potenti cras in purus eu,0,1
548,0,NULL,NULL,NULL,More than 1 year,1,luctus et ultrices posuere cubilia curae mauris viverra diam vitae quam,0,3
549,1,Skyvu,Sales Associate,15064,NULL,0,NULL,0,10
550,1,Jaxbean,Office Assistant III,28778,NULL,1,lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur in libero ut massa volutpat convallis morbi,0,2
551,1,Jayo,GIS Technical Architect,14401,NULL,1,sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat in congue etiam justo etiam pretium iaculis,1,1
552,1,Brainbox,Senior Sales Associate,32354,NULL,0,NULL,0,9
553,1,Yozio,Sales Associate,94727,NULL,0,NULL,1,6
554,1,Quatz,Help Desk Technician,91550,NULL,0,NULL,1,7
555,1,Tagpad,Financial Advisor,43113,NULL,0,NULL,1,3
556,1,Dablist,Chief Design Engineer,37090,NULL,0,NULL,1,3
557,0,NULL,NULL,NULL,More than 1 year,1,ligula sit amet eleifend pede libero quis orci nullam molestie nibh in lectus pellentesque at nulla,1,9
558,0,NULL,NULL,NULL,More than 1 year,0,NULL,1,9
559,1,Tazzy,Research Associate,60348,NULL,1,lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem id ligula suspendisse ornare,1,10
560,0,NULL,NULL,NULL,More than 6 months,1,justo morbi ut odio cras mi pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices,0,9
561,1,Ozu,Registered Nurse,31805,NULL,0,NULL,1,8
562,1,Brainbox,Environmental Specialist,41947,NULL,1,vivamus tortor duis mattis egestas metus aenean fermentum donec ut mauris eget massa tempor convallis,0,8
563,1,Realcube,Business Systems Development Analyst,50461,NULL,0,NULL,1,7
564,1,Twimm,Paralegal,21956,NULL,0,NULL,0,10
565,1,Rhybox,Dental Hygienist,93257,NULL,1,habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla ut erat id mauris vulputate elementum nullam varius,1,5
566,0,NULL,NULL,NULL,More than 6 months,1,morbi quis tortor id nulla ultrices aliquet maecenas leo odio condimentum id luctus nec molestie sed,1,5
567,1,Gigazoom,Pharmacist,91505,NULL,1,nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque id justo sit amet sapien dignissim,1,10
568,1,Dabshots,Paralegal,05396,NULL,1,malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim,1,3
569,0,NULL,NULL,NULL,Less than 6 months,0,NULL,1,9
570,1,Skaboo,Software Consultant,61821,NULL,1,lacinia sapien quis libero nullam sit amet turpis elementum ligula vehicula consequat morbi a ipsum integer a nibh,0,2
571,0,NULL,NULL,NULL,Less than 6 months,0,NULL,1,10
572,1,Flashdog,Product Engineer,73433,NULL,0,NULL,0,10
573,0,NULL,NULL,NULL,More than 1 year,0,NULL,0,7
574,0,NULL,NULL,NULL,Less than 6 months,0,NULL,1,10
575,0,NULL,NULL,NULL,More than 6 months,0,NULL,0,7
576,1,Photobean,GIS Technical Architect,24777,NULL,0,NULL,0,2
577,0,NULL,NULL,NULL,More than 1 year,0,NULL,0,8
578,1,Zooxo,Geologist II,69982,NULL,1,diam erat fermentum justo nec condimentum neque sapien placerat ante nulla justo aliquam quis turpis eget elit sodales scelerisque mauris,0,1
579,1,Yadel,Staff Scientist,56861,NULL,1,risus semper porta volutpat quam pede lobortis ligula sit amet eleifend pede libero quis orci nullam molestie,1,6
580,1,Dynazzy,VP Sales,01609,NULL,0,NULL,0,2
581,1,Tavu,Account Executive,72300,NULL,0,NULL,0,5
582,1,Fivechat,Staff Scientist,23306,NULL,1,elementum nullam varius nulla facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus,1,4
583,0,NULL,NULL,NULL,Less than 6 months,1,habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis molestie lorem quisque ut,0,8
584,1,Yakitri,Financial Advisor,74959,NULL,0,NULL,0,8
585,0,NULL,NULL,NULL,Less than 6 months,1,lectus aliquam sit amet diam in magna bibendum imperdiet nullam orci pede venenatis,1,9
586,0,NULL,NULL,NULL,Less than 6 months,1,justo in blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris non ligula,0,9
587,0,NULL,NULL,NULL,Less than 6 months,0,NULL,1,3
588,0,NULL,NULL,NULL,Less than 6 months,1,maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus,0,9
589,0,NULL,NULL,NULL,More than 6 months,0,NULL,0,10
590,1,Wikibox,Account Executive,61022,NULL,0,NULL,0,5
591,1,Mydeo,Community Outreach Specialist,52923,NULL,0,NULL,1,8
592,0,NULL,NULL,NULL,More than 6 months,1,diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat in congue,0,8
593,1,Midel,Speech Pathologist,22126,NULL,1,congue eget semper rutrum nulla nunc purus phasellus in felis donec semper sapien,1,8
594,0,NULL,NULL,NULL,Less than 6 months,1,proin at turpis a pede posuere nonummy integer non velit donec diam neque vestibulum eget vulputate ut ultrices vel augue,0,8
595,1,Oyonder,Media Manager I,50506,NULL,0,NULL,1,8
596,1,Livefish,Structural Engineer,65886,NULL,1,primis in faucibus orci luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin,1,2
597,1,Riffwire,Chief Design Engineer,73792,NULL,1,sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id,1,9
598,1,Skilith,Senior Financial Analyst,03973,NULL,1,cras in purus eu magna vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus,0,9
599,1,Zoovu,Tax Accountant,80631,NULL,1,fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat,1,2
600,0,NULL,NULL,NULL,More than 1 year,1,at ipsum ac tellus semper interdum mauris ullamcorper purus sit amet nulla quisque arcu,0,2
601,0,NULL,NULL,NULL,Less than 6 months,1,urna ut tellus nulla ut erat id mauris vulputate elementum nullam,1,7
602,0,NULL,NULL,NULL,More than 6 months,0,NULL,1,2
603,1,Edgeify,Environmental Tech,63697,NULL,0,NULL,1,5
604,1,Realbuzz,VP Product Management,05542,NULL,1,nulla nunc purus phasellus in felis donec semper sapien a,0,1
605,1,Livepath,Research Assistant III,31538,NULL,0,NULL,0,6
606,1,Youfeed,Senior Quality Engineer,41986,NULL,1,lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed,1,3
607,0,NULL,NULL,NULL,More than 6 months,1,vel lectus in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum,1,10
608,0,NULL,NULL,NULL,More than 1 year,0,NULL,1,5
609,0,NULL,NULL,NULL,More than 1 year,0,NULL,0,7
610,1,Meevee,Programmer Analyst III,46742,NULL,1,amet nunc viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum ac,1,4
611,0,NULL,NULL,NULL,More than 6 months,0,NULL,0,3
612,1,Ozu,Physical Therapy Assistant,33054,NULL,0,NULL,0,3
613,0,NULL,NULL,NULL,More than 6 months,1,eget rutrum at lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed magna,1,2
614,1,Midel,Engineer IV,14675,NULL,0,NULL,0,5
615,0,NULL,NULL,NULL,More than 6 months,0,NULL,1,2
616,1,Aivee,Web Developer IV,98268,NULL,1,et ultrices posuere cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit a,0,10
617,0,NULL,NULL,NULL,Less than 6 months,0,NULL,0,10
618,1,Thoughtstorm,Senior Financial Analyst,48702,NULL,0,NULL,1,6
619,0,NULL,NULL,NULL,More than 1 year,1,primis in faucibus orci luctus et ultrices posuere cubilia curae duis,0,1
620,0,NULL,NULL,NULL,Less than 6 months,1,quam sapien varius ut blandit non interdum in ante vestibulum ante ipsum primis in,1,2
621,1,Edgetag,Senior Quality Engineer,37630,NULL,0,NULL,1,10
622,0,NULL,NULL,NULL,More than 6 months,1,cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus etiam vel,1,10
623,1,Mydeo,Engineer II,22908,NULL,1,vestibulum velit id pretium iaculis diam erat fermentum justo nec condimentum neque sapien placerat ante nulla justo aliquam quis turpis,0,3
624,0,NULL,NULL,NULL,More than 6 months,1,morbi ut odio cras mi pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor,1,10
625,1,Oyope,Human Resources Manager,16213,NULL,0,NULL,0,3
626,0,NULL,NULL,NULL,Less than 6 months,1,ut tellus nulla ut erat id mauris vulputate elementum nullam varius nulla facilisi cras non velit,0,7
627,1,Jabbertype,Recruiting Manager,31185,NULL,1,non sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi sem,0,2
628,1,Brainlounge,Legal Assistant,74086,NULL,0,NULL,0,4
629,0,NULL,NULL,NULL,More than 6 months,1,quis justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas leo odio,1,7
630,0,NULL,NULL,NULL,More than 6 months,0,NULL,0,2
631,1,Trupe,Nurse Practicioner,76982,NULL,0,NULL,0,4
632,1,Talane,Internal Auditor,96907,NULL,1,vehicula consequat morbi a ipsum integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi,1,9
633,0,NULL,NULL,NULL,More than 1 year,0,NULL,0,1
634,1,Skinix,VP Quality Control,85647,NULL,1,posuere metus vitae ipsum aliquam non mauris morbi non lectus aliquam sit amet diam in magna,1,9
635,0,NULL,NULL,NULL,More than 1 year,1,sed tristique in tempus sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum venenatis turpis,1,6
636,0,NULL,NULL,NULL,More than 1 year,0,NULL,1,8
637,0,NULL,NULL,NULL,More than 1 year,1,faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit,1,7
638,0,NULL,NULL,NULL,Less than 6 months,1,ante nulla justo aliquam quis turpis eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis,1,8
639,0,NULL,NULL,NULL,More than 1 year,1,vitae quam suspendisse potenti nullam porttitor lacus at turpis donec posuere metus vitae ipsum aliquam non mauris,0,7
640,1,Browsedrive,Senior Cost Accountant,38508,NULL,0,NULL,0,10
641,1,Realcube,Mechanical Systems Engineer,60173,NULL,1,sapien ut nunc vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere,0,5
642,1,Blogtags,Research Nurse,50196,NULL,1,dictumst etiam faucibus cursus urna ut tellus nulla ut erat id,0,5
643,1,Browsezoom,Help Desk Operator,42843,NULL,1,diam vitae quam suspendisse potenti nullam porttitor lacus at turpis donec posuere metus vitae ipsum aliquam,1,10
644,1,Skilith,Community Outreach Specialist,18140,NULL,1,purus phasellus in felis donec semper sapien a libero nam dui proin leo odio,0,6
645,1,Gigazoom,Compensation Analyst,63178,NULL,0,NULL,1,9
646,0,NULL,NULL,NULL,More than 1 year,1,eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor,1,5
647,0,NULL,NULL,NULL,More than 6 months,0,NULL,1,3
648,0,NULL,NULL,NULL,More than 6 months,0,NULL,1,4
649,0,NULL,NULL,NULL,More than 1 year,1,in faucibus orci luctus et ultrices posuere cubilia curae donec,1,4
650,1,Vinder,Recruiter,31311,NULL,0,NULL,1,1
651,1,Youtags,Assistant Media Planner,77355,NULL,0,NULL,1,2
652,1,Buzzbean,Professor,27770,NULL,0,NULL,0,6
653,1,Yombu,Health Coach II,86517,NULL,1,amet nunc viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus,0,6
654,0,NULL,NULL,NULL,More than 1 year,0,NULL,0,8
655,0,NULL,NULL,NULL,Less than 6 months,0,NULL,0,4
656,0,NULL,NULL,NULL,More than 1 year,0,NULL,0,6
657,0,NULL,NULL,NULL,More than 1 year,0,NULL,0,10
658,1,Thoughtmix,Product Engineer,81240,NULL,1,fermentum donec ut mauris eget massa tempor convallis nulla neque libero convallis eget eleifend luctus,1,4
659,0,NULL,NULL,NULL,Less than 6 months,0,NULL,0,10
660,1,Kare,Assistant Professor,95740,NULL,0,NULL,0,2
661,1,Brainsphere,Programmer III,96275,NULL,0,NULL,0,2
662,1,Linktype,Chemical Engineer,58248,NULL,1,imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis fusce posuere felis sed,0,7
663,1,Thoughtstorm,VP Product Management,30711,NULL,0,NULL,1,2
664,1,Flashset,Office Assistant III,46213,NULL,0,NULL,0,6
665,0,NULL,NULL,NULL,More than 1 year,0,NULL,1,3
666,1,Photobean,Software Consultant,77841,NULL,0,NULL,1,7
667,0,NULL,NULL,NULL,More than 1 year,1,penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis,1,7
668,0,NULL,NULL,NULL,More than 6 months,1,lacus morbi quis tortor id nulla ultrices aliquet maecenas leo,0,8
669,0,NULL,NULL,NULL,Less than 6 months,0,NULL,0,8
670,1,Voonyx,Accountant II,55893,NULL,1,semper porta volutpat quam pede lobortis ligula sit amet eleifend pede,0,4
671,1,Mydo,Administrative Officer,67179,NULL,0,NULL,1,3
672,1,Zazio,Occupational Therapist,23637,NULL,1,amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus,0,2
673,0,NULL,NULL,NULL,More than 1 year,0,NULL,0,6
674,1,Linktype,Dental Hygienist,46005,NULL,1,praesent lectus vestibulum quam sapien varius ut blandit non interdum in ante vestibulum ante,0,7
675,0,NULL,NULL,NULL,Less than 6 months,1,at feugiat non pretium quis lectus suspendisse potenti in eleifend quam a odio in hac habitasse platea,0,6
676,0,NULL,NULL,NULL,Less than 6 months,1,bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis fusce posuere felis,0,4
677,0,NULL,NULL,NULL,More than 1 year,1,pede justo eu massa donec dapibus duis at velit eu est congue,1,2
678,0,NULL,NULL,NULL,More than 1 year,0,NULL,0,3
679,0,NULL,NULL,NULL,More than 1 year,0,NULL,1,3
680,1,Demizz,Accounting Assistant III,34145,NULL,1,lectus aliquam sit amet diam in magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu,1,6
681,0,NULL,NULL,NULL,More than 1 year,0,NULL,0,10
682,1,Yakijo,Physical Therapy Assistant,49879,NULL,1,duis bibendum morbi non quam nec dui luctus rutrum nulla tellus in sagittis dui vel nisl duis,1,4
683,1,Voomm,Environmental Tech,23475,NULL,1,ligula vehicula consequat morbi a ipsum integer a nibh in quis justo maecenas rhoncus aliquam,1,9
684,1,Avamm,Tax Accountant,35836,NULL,1,morbi odio odio elementum eu interdum eu tincidunt in leo,0,7
685,0,NULL,NULL,NULL,More than 6 months,1,in congue etiam justo etiam pretium iaculis justo in hac,0,9
686,0,NULL,NULL,NULL,More than 6 months,0,NULL,1,4
687,0,NULL,NULL,NULL,More than 1 year,0,NULL,1,8
688,0,NULL,NULL,NULL,Less than 6 months,1,leo odio porttitor id consequat in consequat ut nulla sed accumsan felis ut at dolor quis odio consequat varius integer,0,7
689,1,Zoovu,Geological Engineer,52043,NULL,0,NULL,1,3
690,1,Youspan,Sales Representative,39876,NULL,0,NULL,0,8
691,0,NULL,NULL,NULL,More than 1 year,0,NULL,0,3
692,0,NULL,NULL,NULL,More than 6 months,0,NULL,0,2
693,1,Eamia,Senior Cost Accountant,09671,NULL,0,NULL,0,10
694,1,Devpulse,Food Chemist,23126,NULL,1,leo odio porttitor id consequat in consequat ut nulla sed accumsan felis ut at dolor quis odio,1,10
695,1,Jabberstorm,Product Engineer,66469,NULL,0,NULL,0,8
696,1,Voonder,Librarian,45970,NULL,1,mattis nibh ligula nec sem duis aliquam convallis nunc proin,1,7
697,1,Devbug,Chief Design Engineer,41780,NULL,0,NULL,1,6
698,1,Jabbersphere,Technical Writer,73535,NULL,0,NULL,1,10
699,0,NULL,NULL,NULL,More than 6 months,0,NULL,0,4
700,1,Topdrive,Human Resources Assistant III,20348,NULL,0,NULL,1,1
701,1,Rhynyx,Senior Cost Accountant,71542,NULL,1,duis at velit eu est congue elementum in hac habitasse platea dictumst,1,4
702,0,NULL,NULL,NULL,More than 6 months,1,eleifend luctus ultricies eu nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis,0,5
703,1,Oozz,Senior Editor,64658,NULL,0,NULL,1,1
704,1,Mynte,Chemical Engineer,76102,NULL,1,a pede posuere nonummy integer non velit donec diam neque vestibulum eget,1,6
705,1,Mymm,Librarian,65974,NULL,1,nulla quisque arcu libero rutrum ac lobortis vel dapibus at diam nam tristique tortor eu,0,5
706,0,NULL,NULL,NULL,More than 1 year,1,elementum nullam varius nulla facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus at,1,5
707,1,Quinu,Teacher,60754,NULL,0,NULL,0,9
708,0,NULL,NULL,NULL,More than 1 year,1,non ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu,0,6
709,1,Centidel,Office Assistant IV,87591,NULL,0,NULL,0,4
710,0,NULL,NULL,NULL,More than 1 year,1,ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat,1,10
711,0,NULL,NULL,NULL,More than 1 year,1,luctus ultricies eu nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum,1,2
712,1,Skyvu,Administrative Assistant II,60005,NULL,1,sit amet cursus id turpis integer aliquet massa id lobortis convallis tortor risus,0,1
713,1,Centidel,Human Resources Assistant IV,53481,NULL,0,NULL,1,6
714,0,NULL,NULL,NULL,More than 6 months,0,NULL,1,8
715,0,NULL,NULL,NULL,More than 1 year,0,NULL,0,8
716,0,NULL,NULL,NULL,Less than 6 months,0,NULL,1,7
717,1,Topicstorm,Human Resources Assistant III,78213,NULL,0,NULL,0,5
718,1,Devbug,Operator,57863,NULL,0,NULL,1,3
719,1,Livetube,Help Desk Operator,50358,NULL,1,id luctus nec molestie sed justo pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas tristique est et tempus,1,8
720,1,Abatz,Marketing Manager,82973,NULL,0,NULL,0,1
721,1,Quinu,Clinical Specialist,31246,NULL,1,consequat in consequat ut nulla sed accumsan felis ut at dolor quis odio consequat varius,0,3
722,1,Skaboo,Executive Secretary,56809,NULL,1,ut ultrices vel augue vestibulum ante ipsum primis in faucibus orci,0,10
723,1,Eadel,Biostatistician III,59403,NULL,0,NULL,0,6
724,1,Talane,Community Outreach Specialist,34135,NULL,1,justo in blandit ultrices enim lorem ipsum dolor sit amet consectetuer,0,1
725,1,Buzzster,Associate Professor,06951,NULL,0,NULL,1,2
726,1,Kwilith,Professor,34386,NULL,1,pede justo eu massa donec dapibus duis at velit eu est congue elementum in,1,10
727,0,NULL,NULL,NULL,Less than 6 months,1,sem praesent id massa id nisl venenatis lacinia aenean sit amet justo morbi ut odio cras,0,5
728,0,NULL,NULL,NULL,Less than 6 months,1,libero nam dui proin leo odio porttitor id consequat in consequat ut,1,10
729,0,NULL,NULL,NULL,More than 1 year,0,NULL,1,4
730,1,Thoughtbeat,Administrative Assistant III,21042,NULL,0,NULL,0,3
731,0,NULL,NULL,NULL,More than 1 year,1,blandit non interdum in ante vestibulum ante ipsum primis in faucibus orci luctus et ultrices,1,7
732,1,Brainbox,Physical Therapy Assistant,41762,NULL,1,rutrum nulla tellus in sagittis dui vel nisl duis ac,1,3
733,1,Fanoodle,Developer III,02465,NULL,1,non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla,0,6
734,0,NULL,NULL,NULL,More than 1 year,0,NULL,0,5
735,0,NULL,NULL,NULL,More than 6 months,1,vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus,0,2
736,1,Zooveo,GIS Technical Architect,69317,NULL,0,NULL,0,5
737,1,Meedoo,Internal Auditor,16145,NULL,0,NULL,1,10
738,1,Babbleopia,Recruiter,02118,NULL,1,lacus purus aliquet at feugiat non pretium quis lectus suspendisse,0,5
739,0,NULL,NULL,NULL,Less than 6 months,0,NULL,1,6
740,0,NULL,NULL,NULL,More than 1 year,1,sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar,1,8
741,1,Rooxo,Human Resources Assistant I,74404,NULL,1,morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed,0,10
742,0,NULL,NULL,NULL,More than 1 year,0,NULL,0,2
743,1,Layo,Assistant Media Planner,01895,NULL,0,NULL,1,1
744,1,Zoomzone,Assistant Professor,14309,NULL,1,a suscipit nulla elit ac nulla sed vel enim sit amet nunc viverra dapibus nulla suscipit ligula in,1,8
745,0,NULL,NULL,NULL,Less than 6 months,1,orci luctus et ultrices posuere cubilia curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor,0,6
746,0,NULL,NULL,NULL,More than 1 year,1,quis turpis sed ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut mauris eget massa,1,7
747,1,Mydeo,Nuclear Power Engineer,48621,NULL,0,NULL,1,8
748,1,Twitterbeat,Senior Developer,43557,NULL,1,eleifend quam a odio in hac habitasse platea dictumst maecenas ut,1,6
749,0,NULL,NULL,NULL,More than 1 year,1,at turpis a pede posuere nonummy integer non velit donec diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum,1,3
750,1,Wordtune,Environmental Tech,67459,NULL,1,dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo,0,3
751,1,Avamba,Senior Sales Associate,98551,NULL,0,NULL,1,4
752,0,NULL,NULL,NULL,More than 6 months,1,tortor risus dapibus augue vel accumsan tellus nisi eu orci mauris lacinia sapien quis libero nullam sit amet turpis,1,10
753,1,Wordware,Quality Engineer,27417,NULL,1,et ultrices posuere cubilia curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus,1,9
754,0,NULL,NULL,NULL,More than 1 year,1,curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor morbi,1,6
755,1,Kaymbo,Associate Professor,91087,NULL,1,neque libero convallis eget eleifend luctus ultricies eu nibh quisque id justo sit amet,1,9
756,1,Shufflester,Nuclear Power Engineer,77679,NULL,1,lobortis est phasellus sit amet erat nulla tempus vivamus in felis eu sapien,0,3
757,0,NULL,NULL,NULL,Less than 6 months,1,sed ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut mauris eget,1,5
758,1,Wordtune,Systems Administrator IV,29374,NULL,1,quis odio consequat varius integer ac leo pellentesque ultrices mattis odio donec vitae,1,2
759,0,NULL,NULL,NULL,More than 1 year,1,dui maecenas tristique est et tempus semper est quam pharetra magna ac consequat metus sapien,0,6
760,0,NULL,NULL,NULL,More than 1 year,1,enim sit amet nunc viverra dapibus nulla suscipit ligula in lacus,0,6
761,0,NULL,NULL,NULL,Less than 6 months,1,lorem vitae mattis nibh ligula nec sem duis aliquam convallis nunc proin at turpis a pede posuere nonummy integer,0,3
762,1,Brainlounge,Assistant Manager,96008,NULL,0,NULL,0,9
763,0,NULL,NULL,NULL,Less than 6 months,0,NULL,1,8
764,0,NULL,NULL,NULL,Less than 6 months,0,NULL,1,2
765,0,NULL,NULL,NULL,More than 1 year,0,NULL,1,1
766,1,Zoomcast,Director of Sales,55275,NULL,0,NULL,0,6
767,0,NULL,NULL,NULL,More than 1 year,0,NULL,0,2
768,0,NULL,NULL,NULL,More than 1 year,0,NULL,1,6
769,1,Cogilith,Marketing Manager,93009,NULL,1,sed vestibulum sit amet cursus id turpis integer aliquet massa id lobortis,0,4
770,0,NULL,NULL,NULL,More than 6 months,0,NULL,0,1
771,1,Trupe,Software Consultant,91797,NULL,1,est congue elementum in hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam erat,0,2
772,1,Twitterwire,Structural Engineer,11742,NULL,0,NULL,1,6
773,1,Mynte,Recruiter,35811,NULL,1,luctus rutrum nulla tellus in sagittis dui vel nisl duis ac nibh fusce lacus purus,0,6
774,1,Quatz,Electrical Engineer,14922,NULL,1,praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget tempus,0,8
775,1,Devcast,Legal Assistant,28654,NULL,0,NULL,1,4
776,0,NULL,NULL,NULL,More than 1 year,1,nisi venenatis tristique fusce congue diam id ornare imperdiet sapien,1,3
777,1,Vitz,Automation Specialist III,43574,NULL,0,NULL,0,9
778,1,Vimbo,Biostatistician I,98124,NULL,1,eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue eget semper rutrum nulla,1,10
779,0,NULL,NULL,NULL,More than 6 months,1,nullam sit amet turpis elementum ligula vehicula consequat morbi a ipsum integer,0,9
780,0,NULL,NULL,NULL,Less than 6 months,1,dapibus augue vel accumsan tellus nisi eu orci mauris lacinia sapien quis libero nullam sit amet,0,5
781,1,Quaxo,Recruiting Manager,64588,NULL,0,NULL,0,10
782,0,NULL,NULL,NULL,More than 6 months,0,NULL,0,1
783,1,Roodel,Marketing Manager,12388,NULL,1,justo aliquam quis turpis eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan,1,4
784,1,Aimbu,Human Resources Assistant I,69013,NULL,0,NULL,0,3
785,1,Gigaclub,Legal Assistant,83923,NULL,1,posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor,1,3
